IP,Risk Level,Country,Abuse Score
103.112.234.65,Low Risk,IN,Abuse Score: 0
180.21.123.160,High Risk,JP,Abuse Score: 100
47.108.74.203,High Risk,CN,Abuse Score: 100
20.64.104.65,High Risk,US,Abuse Score: 100
47.238.193.69,High Risk,HK,Abuse Score: 89
117.242.236.137,Low Risk,IN,Abuse Score: 16
190.229.161.115,Medium Risk,AR,Abuse Score: 44
176.238.119.202,Low Risk,TR,Abuse Score: 0
112.46.213.73,Medium Risk,CN,Abuse Score: 49
120.56.9.143,Low Risk,IN,Abuse Score: 0
112.102.171.232,Medium Risk,CN,Abuse Score: 42
196.190.192.89,High Risk,ET,Abuse Score: 100
61.3.54.73,Low Risk,IN,Abuse Score: 0
202.186.94.150,High Risk,MY,Abuse Score: 78
104.0.10.125,Low Risk,US,Abuse Score: 0
118.26.105.179,Medium Risk,BR,Abuse Score: 36
8.137.22.54,Low Risk,CN,Abuse Score: 3
117.202.131.62,Low Risk,IN,Abuse Score: 29
101.36.108.175,High Risk,HK,Abuse Score: 100
59.97.159.76,Low Risk,IN,Abuse Score: 0
120.157.89.28,High Risk,AU,Abuse Score: 100
59.92.45.59,Low Risk,IN,Abuse Score: 24
59.178.33.83,Low Risk,IN,Abuse Score: 0
85.238.175.3,Low Risk,AT,Abuse Score: 0
125.25.231.209,Low Risk,TH,Abuse Score: 22
175.167.254.144,High Risk,CN,Abuse Score: 91
156.228.176.154,Low Risk,CA,Abuse Score: 4
125.99.1.202,Low Risk,IN,Abuse Score: 4
178.69.12.174,Medium Risk,RU,Abuse Score: 38
59.182.243.116,Medium Risk,IN,Abuse Score: 34
147.185.132.204,Low Risk,US,Abuse Score: 0
120.60.56.203,Low Risk,IN,Abuse Score: 27
87.15.203.209,Low Risk,IT,Abuse Score: 0
59.183.22.21,Low Risk,IN,Abuse Score: 30
139.192.164.152,Low Risk,ID,Abuse Score: 0
151.44.160.70,Medium Risk,IT,Abuse Score: 40
99.190.76.249,Low Risk,US,Abuse Score: 0
172.96.141.17,Low Risk,US,Abuse Score: 0
59.182.157.118,Low Risk,IN,Abuse Score: 26
103.214.8.138,High Risk,VN,Abuse Score: 100
47.223.114.233,High Risk,US,Abuse Score: 99
122.96.29.122,Low Risk,CN,Abuse Score: 13
191.101.157.188,High Risk,DE,Abuse Score: 68
14.225.206.98,High Risk,VN,Abuse Score: 100
94.102.49.82,High Risk,NL,Abuse Score: 100
76.131.212.145,Low Risk,US,Abuse Score: 0
58.52.110.123,Medium Risk,CN,Abuse Score: 54
59.94.53.204,Low Risk,IN,Abuse Score: 16
141.11.226.5,Low Risk,FR,Abuse Score: 0
59.95.134.166,Low Risk,IN,Abuse Score: 24
185.220.101.183,High Risk,DE,Abuse Score: 100
106.15.195.97,Low Risk,CN,Abuse Score: 0
42.100.62.218,High Risk,CN,Abuse Score: 79
117.195.229.51,Low Risk,IN,Abuse Score: 0
108.62.58.4,Low Risk,US,Abuse Score: 0
160.79.109.206,Low Risk,US,Abuse Score: 15
216.151.130.226,Low Risk,US,Abuse Score: 0
199.195.253.13,High Risk,US,Abuse Score: 77
113.221.45.29,Medium Risk,CN,Abuse Score: 36
125.209.82.78,Low Risk,PK,Abuse Score: 0
177.44.82.232,Low Risk,BR,Abuse Score: 0
185.93.89.81,High Risk,NL,Abuse Score: 100
20.150.206.76,High Risk,US,Abuse Score: 100
89.44.135.174,Low Risk,IR,Abuse Score: 0
59.88.158.58,Low Risk,IN,Abuse Score: 0
114.158.221.17,Low Risk,JP,Abuse Score: 33
13.56.251.243,High Risk,US,Abuse Score: 86
223.107.146.186,High Risk,CN,Abuse Score: 100
117.194.247.166,Low Risk,IN,Abuse Score: 16
115.79.208.56,Low Risk,VN,Abuse Score: 0
125.68.172.20,Low Risk,CN,Abuse Score: 0
61.1.139.56,Low Risk,IN,Abuse Score: 15
179.43.182.232,High Risk,CH,Abuse Score: 66
59.184.58.128,Low Risk,IN,Abuse Score: 20
176.9.24.119,Low Risk,DE,Abuse Score: 0
113.212.69.253,Low Risk,ID,Abuse Score: 0
113.253.254.156,High Risk,HK,Abuse Score: 100
120.48.98.125,High Risk,CN,Abuse Score: 100
170.106.11.141,High Risk,US,Abuse Score: 100
117.212.74.18,Low Risk,IN,Abuse Score: 30
117.195.165.127,Low Risk,IN,Abuse Score: 4
64.62.197.92,High Risk,US,Abuse Score: 100
61.3.14.157,Low Risk,IN,Abuse Score: 0
117.213.219.194,Low Risk,IN,Abuse Score: 16
45.79.130.114,Low Risk,US,Abuse Score: 5
45.78.231.85,Medium Risk,SG,Abuse Score: 40
122.96.50.202,Medium Risk,CN,Abuse Score: 41
91.231.202.199,Low Risk,AM,Abuse Score: 26
212.30.36.18,Medium Risk,DE,Abuse Score: 68
60.23.137.174,Medium Risk,CN,Abuse Score: 33
59.93.243.241,Low Risk,IN,Abuse Score: 25
120.61.92.23,Low Risk,IN,Abuse Score: 15
61.0.157.47,Low Risk,IN,Abuse Score: 15
39.34.16.216,Low Risk,PK,Abuse Score: 19
181.143.78.154,High Risk,CO,Abuse Score: 60
59.94.131.156,Medium Risk,IN,Abuse Score: 52
117.231.129.129,Low Risk,IN,Abuse Score: 4
167.220.2.178,High Risk,US,Abuse Score: 100
47.243.234.37,Medium Risk,HK,Abuse Score: 55
165.22.223.72,High Risk,IN,Abuse Score: 100
205.196.217.56,High Risk,US,Abuse Score: 100
223.13.75.69,Low Risk,CN,Abuse Score: 31
130.61.102.84,High Risk,DE,Abuse Score: 76
176.90.113.139,Medium Risk,TR,Abuse Score: 59
175.30.48.76,Medium Risk,CN,Abuse Score: 41
219.233.217.123,Low Risk,CN,Abuse Score: 0
117.236.195.211,Low Risk,IN,Abuse Score: 29
61.3.48.169,Low Risk,IN,Abuse Score: 0
115.48.15.253,Medium Risk,CN,Abuse Score: 33
116.203.240.99,Medium Risk,DE,Abuse Score: 50
119.166.114.12,Medium Risk,CN,Abuse Score: 34
8.222.173.60,Medium Risk,SG,Abuse Score: 61
138.219.73.185,Low Risk,US,Abuse Score: 13
223.13.60.188,High Risk,CN,Abuse Score: 93
176.121.14.109,Low Risk,PS,Abuse Score: 0
114.107.170.104,Low Risk,CN,Abuse Score: 25
50.116.13.222,High Risk,US,Abuse Score: 100
36.65.126.225,Low Risk,ID,Abuse Score: 16
118.175.236.190,High Risk,TH,Abuse Score: 68
88.1.113.236,High Risk,ES,Abuse Score: 100
196.188.187.85,High Risk,ET,Abuse Score: 100
167.71.161.144,High Risk,US,Abuse Score: 100
216.151.137.157,Low Risk,US,Abuse Score: 0
125.44.213.26,Medium Risk,CN,Abuse Score: 47
117.247.212.66,Low Risk,IN,Abuse Score: 13
151.238.54.145,Low Risk,IR,Abuse Score: 5
117.255.103.66,Low Risk,IN,Abuse Score: 0
120.61.214.8,Low Risk,IN,Abuse Score: 30
43.224.0.5,High Risk,IN,Abuse Score: 49
182.152.162.150,Low Risk,HK,Abuse Score: 15
123.165.86.183,High Risk,CN,Abuse Score: 80
122.176.215.189,Medium Risk,IN,Abuse Score: 28
103.104.48.18,Medium Risk,IN,Abuse Score: 47
117.209.80.146,Low Risk,IN,Abuse Score: 35
37.235.146.236,Low Risk,RU,Abuse Score: 0
143.110.150.233,High Risk,US,Abuse Score: 100
117.208.238.109,Medium Risk,IN,Abuse Score: 31
59.96.92.242,Low Risk,IN,Abuse Score: 24
117.221.125.188,Medium Risk,IN,Abuse Score: 50
87.236.176.81,High Risk,GB,Abuse Score: 100
45.151.98.118,Low Risk,NL,Abuse Score: 0
172.202.122.225,High Risk,US,Abuse Score: 100
176.52.96.185,Low Risk,RU,Abuse Score: 22
89.58.53.174,Low Risk,DE,Abuse Score: 0
176.91.49.46,Low Risk,TR,Abuse Score: 0
147.53.125.250,Low Risk,US,Abuse Score: 0
47.83.14.133,High Risk,HK,Abuse Score: 72
193.163.125.158,High Risk,GB,Abuse Score: 100
59.178.88.239,Low Risk,IN,Abuse Score: 0
47.236.21.196,High Risk,SG,Abuse Score: 86
20.65.194.133,High Risk,US,Abuse Score: 100
45.79.0.180,High Risk,US,Abuse Score: 100
182.135.66.173,High Risk,CN,Abuse Score: 100
58.34.1.82,High Risk,CN,Abuse Score: 100
117.195.214.168,Low Risk,IN,Abuse Score: 33
117.214.139.121,Low Risk,IN,Abuse Score: 4
120.86.255.247,Low Risk,CN,Abuse Score: 3
59.184.68.31,Low Risk,IN,Abuse Score: 0
120.26.114.24,High Risk,CN,Abuse Score: 100
59.183.127.198,Low Risk,IN,Abuse Score: 4
103.11.216.174,Low Risk,KH,Abuse Score: 24
125.73.162.59,Medium Risk,CN,Abuse Score: 47
120.56.110.85,Low Risk,IN,Abuse Score: 15
148.251.110.53,Low Risk,DE,Abuse Score: 0
221.146.72.238,High Risk,KR,Abuse Score: 100
185.253.160.157,High Risk,BG,Abuse Score: 73
8.217.68.217,Low Risk,HK,Abuse Score: 24
193.56.146.60,Low Risk,FR,Abuse Score: 0
14.103.170.165,High Risk,CN,Abuse Score: 100
80.82.43.225,Medium Risk,RU,Abuse Score: 49
108.62.62.156,Low Risk,US,Abuse Score: 0
117.196.136.217,Low Risk,IN,Abuse Score: 5
117.209.22.66,Low Risk,IN,Abuse Score: 0
120.57.174.76,Low Risk,IN,Abuse Score: 3
35.203.210.163,Low Risk,GB,Abuse Score: 0
91.231.182.203,Low Risk,UA,Abuse Score: 0
193.163.125.224,High Risk,GB,Abuse Score: 100
190.198.188.97,Low Risk,VE,Abuse Score: 0
154.213.164.171,Low Risk,CA,Abuse Score: 0
83.246.141.26,High Risk,RU,Abuse Score: 100
112.232.13.99,Low Risk,CN,Abuse Score: 24
194.163.129.206,High Risk,DE,Abuse Score: 100
117.205.163.218,Low Risk,IN,Abuse Score: 17
78.158.200.91,Low Risk,UA,Abuse Score: 21
217.154.19.188,High Risk,DE,Abuse Score: 100
103.180.3.238,High Risk,IN,Abuse Score: 100
66.63.187.196,High Risk,TR,Abuse Score: 100
103.98.4.35,Medium Risk,IN,Abuse Score: 26
216.152.249.212,Low Risk,US,Abuse Score: 0
117.243.53.72,Low Risk,IN,Abuse Score: 16
152.53.17.110,Medium Risk,AT,Abuse Score: 34
165.232.39.59,High Risk,GB,Abuse Score: 100
167.99.147.62,High Risk,US,Abuse Score: 100
167.61.1.40,Low Risk,UY,Abuse Score: 31
76.76.195.174,High Risk,PR,Abuse Score: 66
204.8.96.143,Medium Risk,US,Abuse Score: 45
108.62.57.2,Low Risk,US,Abuse Score: 0
116.7.212.245,Low Risk,CN,Abuse Score: 12
49.131.38.197,Low Risk,HK,Abuse Score: 24
222.141.42.190,Low Risk,CN,Abuse Score: 33
221.232.243.252,Low Risk,CN,Abuse Score: 14
40.124.175.26,High Risk,US,Abuse Score: 100
96.86.212.108,High Risk,US,Abuse Score: 100
35.242.187.91,Low Risk,GB,Abuse Score: 0
39.62.104.138,Low Risk,PK,Abuse Score: 0
47.245.86.231,High Risk,SG,Abuse Score: 100
92.58.188.204,Low Risk,ES,Abuse Score: 0
125.228.29.98,High Risk,TW,Abuse Score: 100
117.201.223.100,Low Risk,IN,Abuse Score: 32
45.67.57.135,Low Risk,RU,Abuse Score: 0
117.216.51.97,Low Risk,IN,Abuse Score: 0
5.201.151.241,Low Risk,IR,Abuse Score: 21
117.215.51.5,Low Risk,IN,Abuse Score: 13
88.115.125.76,Low Risk,FI,Abuse Score: 0
37.120.146.126,Low Risk,DE,Abuse Score: 0
101.108.67.149,Low Risk,TH,Abuse Score: 31
166.144.140.131,Low Risk,US,Abuse Score: 34
123.13.1.16,Medium Risk,CN,Abuse Score: 25
110.44.116.120,Medium Risk,NP,Abuse Score: 35
117.196.249.217,Low Risk,IN,Abuse Score: 5
117.221.79.3,Low Risk,IN,Abuse Score: 17
106.75.140.7,High Risk,CN,Abuse Score: 100
117.213.249.16,Low Risk,IN,Abuse Score: 0
42.52.206.250,High Risk,CN,Abuse Score: 78
95.141.225.232,Medium Risk,RU,Abuse Score: 58
107.180.115.13,Low Risk,US,Abuse Score: 24
41.169.151.90,Low Risk,ZA,Abuse Score: 0
61.3.133.104,Low Risk,IN,Abuse Score: 23
49.86.67.146,High Risk,CN,Abuse Score: 100
195.184.76.24,High Risk,US,Abuse Score: 100
112.46.212.200,Medium Risk,CN,Abuse Score: 45
98.118.165.224,Low Risk,US,Abuse Score: 0
61.166.210.122,Low Risk,CN,Abuse Score: 3
221.234.141.220,High Risk,CN,Abuse Score: 82
153.37.220.248,Medium Risk,CN,Abuse Score: 64
190.89.31.59,Medium Risk,VE,Abuse Score: 64
47.239.209.158,High Risk,HK,Abuse Score: 100
105.100.178.209,Low Risk,DZ,Abuse Score: 0
222.141.89.55,Low Risk,CN,Abuse Score: 0
123.138.77.60,High Risk,CN,Abuse Score: 69
193.163.125.227,High Risk,GB,Abuse Score: 100
45.88.90.181,Low Risk,KZ,Abuse Score: 0
210.212.85.151,Low Risk,IN,Abuse Score: 22
117.195.212.186,Low Risk,IN,Abuse Score: 15
103.41.28.70,Low Risk,IN,Abuse Score: 0
220.120.48.118,High Risk,KR,Abuse Score: 100
59.178.217.150,Medium Risk,IN,Abuse Score: 37
117.235.7.18,Medium Risk,IN,Abuse Score: 47
45.164.177.182,High Risk,BR,Abuse Score: 100
8.219.146.152,Medium Risk,SG,Abuse Score: 64
2.55.100.128,Low Risk,IL,Abuse Score: 5
180.23.247.250,High Risk,JP,Abuse Score: 69
89.22.17.62,Low Risk,RU,Abuse Score: 0
58.212.237.235,High Risk,CN,Abuse Score: 69
125.40.75.234,High Risk,CN,Abuse Score: 67
93.118.125.72,Medium Risk,IR,Abuse Score: 53
177.129.202.92,Low Risk,BR,Abuse Score: 0
89.241.243.120,Low Risk,GB,Abuse Score: 22
54.207.187.108,High Risk,BR,Abuse Score: 100
35.203.210.49,Low Risk,GB,Abuse Score: 0
8.222.161.10,High Risk,SG,Abuse Score: 100
117.205.167.139,Low Risk,IN,Abuse Score: 16
120.61.249.49,Low Risk,IN,Abuse Score: 4
159.192.97.181,Low Risk,TH,Abuse Score: 0
141.11.136.170,Low Risk,US,Abuse Score: 3
117.195.164.5,Low Risk,IN,Abuse Score: 4
196.190.16.211,Medium Risk,ET,Abuse Score: 61
45.6.95.70,Low Risk,BR,Abuse Score: 0
117.199.4.29,Medium Risk,IN,Abuse Score: 39
122.96.28.190,Medium Risk,CN,Abuse Score: 46
109.206.254.88,Low Risk,IR,Abuse Score: 21
59.94.51.107,Low Risk,IN,Abuse Score: 23
59.180.174.208,Low Risk,IN,Abuse Score: 4
171.247.210.245,High Risk,VN,Abuse Score: 100
171.251.26.205,High Risk,VN,Abuse Score: 100
151.115.97.65,Low Risk,PL,Abuse Score: 0
5.11.217.113,Low Risk,TR,Abuse Score: 5
15.235.189.149,High Risk,SG,Abuse Score: 100
191.59.190.238,Low Risk,BR,Abuse Score: 16
117.209.0.247,Medium Risk,IN,Abuse Score: 31
111.208.45.11,Low Risk,CN,Abuse Score: 4
5.167.69.191,Low Risk,RU,Abuse Score: 0
111.208.45.32,Low Risk,CN,Abuse Score: 4
185.226.196.17,High Risk,US,Abuse Score: 100
45.144.212.12,High Risk,NL,Abuse Score: 100
191.5.252.53,Low Risk,BR,Abuse Score: 2
84.239.64.192,High Risk,FR,Abuse Score: 80
120.209.99.118,Medium Risk,CN,Abuse Score: 41
45.78.226.23,Low Risk,SG,Abuse Score: 3
61.0.99.129,Low Risk,IN,Abuse Score: 23
203.56.201.183,High Risk,CN,Abuse Score: 100
205.210.31.197,Low Risk,BR,Abuse Score: 0
103.30.0.5,Low Risk,ID,Abuse Score: 28
61.3.28.93,Medium Risk,IN,Abuse Score: 28
60.25.109.114,Low Risk,CN,Abuse Score: 32
59.184.210.190,Low Risk,IN,Abuse Score: 16
120.243.96.191,Low Risk,CN,Abuse Score: 0
123.5.173.240,Low Risk,CN,Abuse Score: 0
162.216.150.174,Low Risk,US,Abuse Score: 0
117.221.167.16,Low Risk,IN,Abuse Score: 16
117.193.245.234,Low Risk,IN,Abuse Score: 16
59.89.247.105,Low Risk,IN,Abuse Score: 12
117.195.199.122,Medium Risk,IN,Abuse Score: 34
200.225.246.102,High Risk,BR,Abuse Score: 100
47.236.119.241,Low Risk,SG,Abuse Score: 0
38.76.73.5,High Risk,US,Abuse Score: 100
5.163.159.10,High Risk,SA,Abuse Score: 75
50.196.148.195,Low Risk,US,Abuse Score: 0
84.235.249.242,Low Risk,AE,Abuse Score: 89
116.23.161.236,Low Risk,CN,Abuse Score: 100
219.157.188.14,Low Risk,CN,Abuse Score: 4
178.69.210.124,Low Risk,RU,Abuse Score: 4
76.6.12.227,Low Risk,US,Abuse Score: 0
119.114.60.114,Low Risk,CN,Abuse Score: 0
61.3.50.207,Low Risk,IN,Abuse Score: 0
216.218.206.68,Low Risk,US,Abuse Score: 100
47.237.112.17,Low Risk,SG,Abuse Score: 100
203.19.88.59,Low Risk,AU,Abuse Score: 0
111.225.149.28,Low Risk,CN,Abuse Score: 40
175.107.3.193,Low Risk,PK,Abuse Score: 47
147.185.132.162,Low Risk,US,Abuse Score: 0
112.46.151.71,Low Risk,CN,Abuse Score: 67
85.105.215.110,Low Risk,TR,Abuse Score: 33
117.223.22.236,Low Risk,IN,Abuse Score: 17
104.28.222.237,Low Risk,UA,Abuse Score: 74
2.66.26.27,Low Risk,SE,Abuse Score: 59
125.25.224.170,Low Risk,TH,Abuse Score: 24
147.185.133.47,Low Risk,FI,Abuse Score: 0
195.201.111.82,Low Risk,DE,Abuse Score: 48
117.214.54.140,Low Risk,IN,Abuse Score: 34
198.98.53.79,Low Risk,US,Abuse Score: 0
105.214.10.226,Low Risk,ZA,Abuse Score: 71
119.184.10.202,Low Risk,CN,Abuse Score: 5
34.106.233.250,Low Risk,US,Abuse Score: 0
87.98.241.210,Low Risk,FR,Abuse Score: 0
37.255.231.130,Low Risk,IR,Abuse Score: 70
182.60.239.225,Low Risk,IN,Abuse Score: 29
175.30.204.53,Low Risk,CN,Abuse Score: 92
220.135.130.209,Low Risk,TW,Abuse Score: 100
150.138.82.77,Low Risk,CN,Abuse Score: 100
185.130.144.74,Low Risk,ES,Abuse Score: 0
2.71.219.12,Low Risk,SE,Abuse Score: 54
178.141.108.98,Low Risk,RU,Abuse Score: 54
218.107.0.188,Low Risk,CN,Abuse Score: 100
117.233.146.49,Low Risk,IN,Abuse Score: 36
149.126.222.129,Low Risk,DE,Abuse Score: 32
213.43.4.95,Low Risk,TR,Abuse Score: 23
37.37.38.139,Low Risk,KW,Abuse Score: 0
5.167.65.214,Low Risk,RU,Abuse Score: 0
177.52.25.142,Low Risk,BR,Abuse Score: 44
37.34.72.11,Low Risk,IT,Abuse Score: 33
45.32.205.199,Low Risk,US,Abuse Score: 0
119.116.238.192,Low Risk,CN,Abuse Score: 33
119.98.126.173,Low Risk,CN,Abuse Score: 39
150.255.253.51,Low Risk,CN,Abuse Score: 0
41.138.89.220,Low Risk,BJ,Abuse Score: 0
42.100.59.173,Low Risk,CN,Abuse Score: 93
81.250.169.249,Low Risk,FR,Abuse Score: 0
120.28.216.247,Low Risk,PH,Abuse Score: 54
125.87.81.36,Low Risk,CN,Abuse Score: 12
39.62.105.122,Low Risk,PK,Abuse Score: 5
91.72.245.37,Low Risk,AE,Abuse Score: 0
120.57.86.208,Low Risk,IN,Abuse Score: 44
45.93.29.146,Low Risk,KR,Abuse Score: 0
117.194.203.193,Low Risk,IN,Abuse Score: 0
113.53.201.241,Low Risk,TH,Abuse Score: 0
101.89.113.198,Low Risk,CN,Abuse Score: 100
186.248.197.77,Low Risk,BR,Abuse Score: 100
117.194.200.226,Low Risk,IN,Abuse Score: 4
1.164.218.169,Low Risk,TW,Abuse Score: 35
182.247.128.56,Low Risk,CN,Abuse Score: 82
39.97.193.87,Low Risk,CN,Abuse Score: 100
117.200.182.116,Low Risk,IN,Abuse Score: 30
77.93.46.164,Low Risk,UA,Abuse Score: 51
5.167.65.145,Low Risk,RU,Abuse Score: 0
110.24.36.16,Low Risk,TW,Abuse Score: 100
179.125.172.210,Low Risk,BR,Abuse Score: 35
83.57.250.181,Low Risk,ES,Abuse Score: 100
179.43.128.16,Low Risk,CH,Abuse Score: 52
171.6.148.233,Low Risk,TH,Abuse Score: 15
182.60.229.125,Low Risk,IN,Abuse Score: 0
117.245.45.6,Low Risk,IN,Abuse Score: 39
117.195.210.59,Low Risk,IN,Abuse Score: 41
182.93.69.74,Low Risk,NP,Abuse Score: 9
61.0.91.236,Low Risk,IN,Abuse Score: 23
179.151.153.3,Low Risk,BR,Abuse Score: 0
117.193.50.15,Low Risk,IN,Abuse Score: 0
175.165.87.204,Low Risk,CN,Abuse Score: 38
193.163.125.126,Low Risk,GB,Abuse Score: 100
117.5.176.58,Low Risk,VN,Abuse Score: 100
117.209.117.67,Low Risk,IN,Abuse Score: 15
151.46.133.22,Low Risk,IT,Abuse Score: 84
124.248.165.98,Low Risk,KH,Abuse Score: 50
115.85.88.107,Low Risk,ID,Abuse Score: 0
59.151.211.132,Low Risk,KR,Abuse Score: 15
111.208.78.16,Low Risk,CN,Abuse Score: 0
120.61.24.112,Low Risk,IN,Abuse Score: 55
44.192.244.178,Low Risk,US,Abuse Score: 0
91.202.133.37,Low Risk,UA,Abuse Score: 11
85.172.104.148,Low Risk,RU,Abuse Score: 79
116.2.124.134,Low Risk,CN,Abuse Score: 67
209.38.74.178,Low Risk,US,Abuse Score: 42
121.61.133.19,Low Risk,CN,Abuse Score: 15
76.139.156.196,Low Risk,US,Abuse Score: 0
58.46.179.64,Low Risk,CN,Abuse Score: 25
45.71.113.187,Low Risk,EC,Abuse Score: 0
192.251.226.89,Low Risk,DE,Abuse Score: 0
117.195.142.53,Low Risk,IN,Abuse Score: 0
190.102.49.81,Low Risk,BR,Abuse Score: 100
181.48.243.194,Low Risk,CO,Abuse Score: 43
59.95.155.112,Low Risk,IN,Abuse Score: 0
117.205.89.242,Low Risk,IN,Abuse Score: 5
117.202.77.0,Low Risk,IN,Abuse Score: 4
187.170.158.44,Low Risk,MX,Abuse Score: 57
106.15.203.206,Low Risk,CN,Abuse Score: 100
154.61.72.205,Low Risk,IN,Abuse Score: 100
52.2.58.41,Low Risk,US,Abuse Score: 81
8.221.137.196,Low Risk,JP,Abuse Score: 100
115.50.219.232,Low Risk,CN,Abuse Score: 29
138.97.12.150,Low Risk,BR,Abuse Score: 0
117.213.250.190,Low Risk,IN,Abuse Score: 39
114.34.177.48,Low Risk,TW,Abuse Score: 47
147.185.132.131,Low Risk,US,Abuse Score: 0
117.206.65.159,Low Risk,IN,Abuse Score: 0
113.101.246.68,Low Risk,CN,Abuse Score: 31
120.85.115.240,Low Risk,CN,Abuse Score: 17
206.168.34.221,Low Risk,US,Abuse Score: 100
117.214.98.203,Low Risk,IN,Abuse Score: 16
69.166.171.194,Low Risk,US,Abuse Score: 100
110.173.135.140,Low Risk,AU,Abuse Score: 0
121.101.130.14,Low Risk,ID,Abuse Score: 32
59.91.46.160,Low Risk,IN,Abuse Score: 4
222.216.121.169,Low Risk,CN,Abuse Score: 26
42.239.113.207,Low Risk,CN,Abuse Score: 43
183.203.213.114,Low Risk,CN,Abuse Score: 27
82.63.122.193,Low Risk,IT,Abuse Score: 0
45.178.129.49,Low Risk,BR,Abuse Score: 0
171.113.134.202,Low Risk,CN,Abuse Score: 35
41.190.232.26,Low Risk,CD,Abuse Score: 0
191.57.64.117,Low Risk,BR,Abuse Score: 5
5.9.140.30,Low Risk,DE,Abuse Score: 0
108.62.59.3,Low Risk,US,Abuse Score: 0
37.34.209.216,Low Risk,KW,Abuse Score: 69
93.51.67.15,Low Risk,IT,Abuse Score: 46
80.116.29.151,Low Risk,IT,Abuse Score: 4
58.65.90.154,Low Risk,KR,Abuse Score: 100
117.207.246.231,Low Risk,IN,Abuse Score: 19
213.171.50.48,Low Risk,RU,Abuse Score: 0
117.242.206.23,Low Risk,IN,Abuse Score: 14
176.82.144.251,Low Risk,ES,Abuse Score: 4
41.78.26.155,Low Risk,KE,Abuse Score: 0
112.94.253.170,Low Risk,CN,Abuse Score: 55
117.208.226.151,Low Risk,IN,Abuse Score: 5
111.208.45.215,Low Risk,CN,Abuse Score: 4
162.142.125.143,Low Risk,US,Abuse Score: 0
179.182.50.167,Low Risk,BR,Abuse Score: 0
61.3.150.238,Low Risk,IN,Abuse Score: 31
92.184.100.41,Low Risk,FR,Abuse Score: 0
59.88.147.96,Low Risk,IN,Abuse Score: 23
175.107.2.185,Low Risk,PK,Abuse Score: 32
112.46.212.52,Low Risk,CN,Abuse Score: 51
47.237.79.10,Low Risk,SG,Abuse Score: 100
221.235.230.6,Low Risk,CN,Abuse Score: 80
58.136.152.253,Low Risk,TH,Abuse Score: 67
118.145.181.192,Low Risk,CN,Abuse Score: 100
59.182.158.103,Low Risk,IN,Abuse Score: 32
20.163.15.123,Low Risk,US,Abuse Score: 100
117.242.234.27,Low Risk,IN,Abuse Score: 23
185.51.92.108,Low Risk,PT,Abuse Score: 0
111.23.112.109,Low Risk,CN,Abuse Score: 64
117.217.87.8,Low Risk,IN,Abuse Score: 44
212.30.36.47,Low Risk,DE,Abuse Score: 64
39.34.12.183,Low Risk,PK,Abuse Score: 0
112.115.155.250,Low Risk,CN,Abuse Score: 4
59.184.135.243,Low Risk,IN,Abuse Score: 5
117.196.149.40,Low Risk,IN,Abuse Score: 37
223.8.50.130,Low Risk,CN,Abuse Score: 30
114.199.240.45,Low Risk,KR,Abuse Score: 23
92.40.118.200,Low Risk,GB,Abuse Score: 0
20.98.136.162,Low Risk,US,Abuse Score: 100
47.88.107.3,Low Risk,US,Abuse Score: 36
117.206.16.225,Low Risk,IN,Abuse Score: 74
80.104.123.160,Low Risk,IT,Abuse Score: 100
117.197.197.137,Low Risk,IN,Abuse Score: 0
179.170.2.49,Low Risk,BR,Abuse Score: 5
85.208.96.208,Low Risk,US,Abuse Score: 100
14.185.190.29,Low Risk,VN,Abuse Score: 62
117.205.159.103,Low Risk,IN,Abuse Score: 15
218.206.58.197,Low Risk,CN,Abuse Score: 100
185.14.186.129,Low Risk,NL,Abuse Score: 0
14.49.90.95,Low Risk,KR,Abuse Score: 69
59.99.125.251,Low Risk,IN,Abuse Score: 32
140.82.29.208,Low Risk,US,Abuse Score: 100
59.44.47.106,Low Risk,CN,Abuse Score: 0
117.247.219.77,Low Risk,IN,Abuse Score: 24
73.174.195.57,Low Risk,US,Abuse Score: 0
117.199.48.104,Low Risk,IN,Abuse Score: 24
117.215.138.255,Low Risk,IN,Abuse Score: 24
95.141.17.35,Low Risk,GB,Abuse Score: 0
113.221.47.162,Low Risk,CN,Abuse Score: 43
